,Stock,Score,Volume,VWAP,Closing Price,LowerBound
2,ISIG,-21.713877395464962,3217888,7.9251,6.35,7.728831214612025
4,NVST,-8.751888791522152,1938798,44.65,40.91,44.49039770461171
8,EBON,-6.653515149078871,57494141,5.9345,5.53,5.897939387744062
5,ONCT,-4.206749660402622,856823,9.15,8.66,9.024304520590867
3,NCLH,-2.77868768849767,33368476,32.0397,31.08,31.943616133585074
